,percentage,pks+island,pid,type,percentage2
C543_D1_G10_D1,2.1183912836272914e-07,No,C543,adjacent normal,0.0
C543_D1_G9_D1,5.636108444584172e-07,No,C543,adjacent normal,0.0
C543_E1_B1_D1,2.0783247967179265e-07,No,C543,distant normal,0.0
C544_A1_G1_D1,9.729047901004159e-05,Yes,C544,cancer,9.729047901004159e-05
C544_A1_G4_D1,0.000311591759408395,Yes,C544,cancer,0.000311591759408395
C544_A1_G8_D1,0.00023056118935718456,Yes,C544,cancer,0.00023056118935718456
C544_B1_G1_D1,1.4702125579427624e-05,Yes,C544,adjacent normal,1.4702125579427624e-05
C544_B1_G2_D1,2.2728515877630863e-05,Yes,C544,adjacent normal,2.2728515877630863e-05
C544_C1_G10_D1,2.203516049887784e-06,Yes,C544,cancer,2.203516049887784e-06
C544_C1_G3_D1,3.3062139654086095e-06,Yes,C544,adjacent normal,3.3062139654086095e-06
C544_D1_G3_D1,8.619644487155028e-06,Yes,C544,cancer,8.619644487155028e-06
C544_D1_G5_D1,3.257607944893544e-05,Yes,C544,cancer,3.257607944893544e-05
C544_D1_G8_D1,2.422504262543865e-05,Yes,C544,cancer,2.422504262543865e-05
C544_E1_B1_D1,2.830830590997513e-06,Yes,C544,distant normal,2.830830590997513e-06
C544_E1_G1_D1,2.214204216350607e-06,Yes,C544,distant normal,2.214204216350607e-06
C544_E1_G3_D1,1.8699707707937634e-06,Yes,C544,distant normal,1.8699707707937634e-06
C544_Z1_B1_D1,1.9928945563100028e-07,No,C544,cancer,0.0
C547_A1_G4_D1,1.9119928090067277e-06,Yes,C547,adjacent normal,1.9119928090067277e-06
C547_A4_L1_D1,2.238260973634727e-06,Yes,C547,cancer,2.238260973634727e-06
C547_B1_G2_D1,3.264959131208164e-07,No,C547,adjacent normal,0.0
C547_B1_G3_D1,1.5804793781425663e-06,Yes,C547,adjacent normal,1.5804793781425663e-06
C547_B1_G4_D1,1.382292475044693e-05,Yes,C547,adjacent normal,1.382292475044693e-05
C547_B3_L1_D1,3.995353602734869e-06,Yes,C547,cancer,3.995353602734869e-06
C547_C1_G7_D1,5.843449002070336e-07,Yes,C547,adjacent normal,5.843449002070336e-07
C547_C3_L1_D1,1.7421025304671536e-06,Yes,C547,cancer,1.7421025304671536e-06
C547_D1_G6_D1,1.121361671295879e-06,Yes,C547,adjacent normal,1.121361671295879e-06
C547_D1_G8_D1,1.5020653832307513e-07,Yes,C547,adjacent normal,1.5020653832307513e-07
C547_E1_G1_D1,1.64451956362249e-07,No,C547,distant normal,0.0
C547_Z1_B1_D1,9.8457132429126e-09,No,C547,cancer,0.0
C548_A1_G10_D1,9.670694196987627e-08,No,C548,cancer,0.0
C548_A1_G4_D1,8.588393655700383e-08,No,C548,cancer,0.0
C548_B1_G10_D1,5.281290368934396e-07,Yes,C548,cancer,5.281290368934396e-07
C548_B1_G4_D1,4.676375893656378e-07,Yes,C548,cancer,4.676375893656378e-07
C548_C1_G3_D1,7.120861557333455e-07,No,C548,cancer,0.0
C548_C1_G7_D1,1.07576420412161e-06,No,C548,cancer,0.0
C548_D1_G1_D1,1.2840266672769209e-06,Yes,C548,cancer,1.2840266672769209e-06
C548_D1_G9_D1,1.2354265298519047e-06,No,C548,cancer,0.0
C548_E1_B1_D1,1.929388262827453e-08,No,C548,distant normal,0.0
C548_Z1_B1_D1,6.8410399404129e-09,No,C548,cancer,0.0
C549_A1_G2_D1,1.3789352509442866e-07,No,C549,adjacent normal,0.0
C549_A1_G4_D1,1.7802470537239729e-06,No,C549,cancer,0.0
C549_A1_G8_D1,6.207382223996927e-07,No,C549,adjacent normal,0.0
C549_B1_G3_D1,2.2719985995087253e-07,No,C549,cancer,0.0
C549_B1_G5_D1,2.1043689014844649e-07,No,C549,cancer,0.0
C549_B1_G8_D1,7.195036483248642e-08,No,C549,cancer,0.0
C549_C1_G4_D1,5.817753040548202e-07,No,C549,adjacent normal,0.0
C549_C1_G6_D1,5.987825999701771e-07,No,C549,cancer,0.0
C549_C1_G7_D1,2.7532086803746626e-07,No,C549,cancer,0.0
C549_C1_G8_D1,4.520177206401371e-07,No,C549,adjacent normal,0.0
C549_C234_L1_D1,3.3395793653181847e-09,No,C549,cancer,0.0
C549_D234_L1_D1,1.7220578264177744e-07,Yes,C549,cancer,1.7220578264177744e-07
C549_Z1_B1_D1,6.271740223115089e-09,No,C549,cancer,0.0
C550_A1_G1_D1,2.3935016658088236e-05,Yes,C550,cancer,2.3935016658088236e-05
C550_A1_G2_D1,1.459702091537997e-05,Yes,C550,adjacent normal,1.459702091537997e-05
C550_B1_G2_D1,1.7835510020876434e-05,No,C550,adjacent normal,0.0
C550_B1_G3_D1,8.999211381495974e-06,No,C550,adjacent normal,0.0
C550_B1_G5_D1,3.985584122889099e-06,Yes,C550,cancer,3.985584122889099e-06
C550_C1_G3_D1,2.784310125733822e-05,No,C550,adjacent normal,0.0
