,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,Pid
C518_D1_G6_D1,0.221,0.0,0.126,0.032,0.025,0.568,0.027999999999999997,C518
C518_D1_G8_D1,0.225,0.0,0.126,0.022000000000000002,0.025,0.574,0.027999999999999997,C518
C519_A4_L1_D1,0.774,0.027000000000000003,0.0,0.0,0.0,0.19899999999999998,0.0,C519
C519_B3_L1_D1,0.792,0.013999999999999999,0.0,0.002,0.0,0.192,0.0,C519
C519_C1_L1_D1,0.78,0.013999999999999999,0.0,0.0,0.0,0.20600000000000002,0.0,C519
C519_D2_L1_D1,0.778,0.021,0.0,0.0,0.0,0.201,0.0,C519
C524_B1_G4_D1,0.6779999999999999,0.046,0.0,0.105,0.006999999999999999,0.10300000000000001,0.062,C524
C524_B1_G5_D1,0.682,0.043,0.0,0.102,0.008,0.10099999999999999,0.064,C524
C524_B1_G6_D1,0.665,0.042,0.0,0.125,0.006999999999999999,0.10300000000000001,0.059000000000000004,C524
C524_C1_G10_D1,0.6990000000000001,0.044000000000000004,0.0,0.09699999999999999,0.005,0.08900000000000001,0.065,C524
C524_C1_G2_D1,0.742,0.042,0.0,0.057999999999999996,0.005,0.094,0.057999999999999996,C524
C524_C1_G4_D1,0.708,0.045,0.0,0.086,0.006999999999999999,0.08900000000000001,0.064,C524
C524_C1_G5_D1,0.713,0.045,0.0,0.07400000000000001,0.005,0.087,0.076,C524
C524_C1_G8_D1,0.693,0.05,0.0,0.105,0.004,0.08800000000000001,0.061,C524
C524_D1_G10_D1,0.7290000000000001,0.047,0.0,0.057,0.006,0.08900000000000001,0.071,C524
C524_D1_G5_D1,0.715,0.042,0.0,0.078,0.005,0.087,0.073,C524
C525_A1_B1_D1,0.653,0.11599999999999999,0.0,0.022000000000000002,0.011000000000000001,0.102,0.095,C525
C525_B1_B1_D1,0.6629999999999999,0.106,0.0,0.024,0.01,0.102,0.094,C525
C525_B1_G1_D1,0.667,0.10400000000000001,0.0,0.022000000000000002,0.009000000000000001,0.10400000000000001,0.095,C525
C525_B1_G2_D1,0.6579999999999999,0.10300000000000001,0.0,0.024,0.013999999999999999,0.10800000000000001,0.09300000000000001,C525
C525_B1_G3_D1,0.667,0.106,0.0,0.024,0.008,0.10300000000000001,0.09300000000000001,C525
C525_C1_B1_D1,0.6559999999999999,0.115,0.0,0.02,0.006999999999999999,0.106,0.096,C525
C525_C1_G7_D1,0.652,0.11199999999999999,0.0,0.021,0.008,0.111,0.095,C525
C525_C1_G9_D1,0.657,0.11599999999999999,0.001,0.021,0.006999999999999999,0.105,0.092,C525
C525_D1_G10_D1,0.6629999999999999,0.10099999999999999,0.0,0.024,0.013999999999999999,0.105,0.09300000000000001,C525
C525_D1_G8_D1,0.665,0.10099999999999999,0.0,0.026000000000000002,0.016,0.098,0.09300000000000001,C525
C527_A3_L1_D1,0.7959999999999999,0.091,0.0,0.0,0.006,0.102,0.005,C527
C527_B1_G7_D1,0.802,0.08199999999999999,0.0,0.0,0.004,0.10800000000000001,0.005,C527
C527_B3_L1_D1,0.8029999999999999,0.084,0.0,0.0,0.016,0.095,0.003,C527
C527_C2_L1_D1,0.7959999999999999,0.086,0.0,0.0,0.013999999999999999,0.10099999999999999,0.003,C527
C528_A1_G7_D1,0.556,0.20600000000000002,0.17800000000000002,0.006,0.018000000000000002,0.031,0.006,C528
C528_A1_G9_D1,0.738,0.084,0.142,0.004,0.025,0.0,0.006999999999999999,C528
C528_B1_G2_D1,0.62,0.145,0.158,0.027999999999999997,0.016,0.034,0.0,C528
C528_B1_G9_D1,0.693,0.132,0.145,0.01,0.019,0.001,0.0,C528
C528_C1_G10_D1,0.467,0.222,0.19699999999999998,0.053,0.025,0.03,0.005,C528
C528_C1_G9_D1,0.628,0.14,0.133,0.018000000000000002,0.013000000000000001,0.059000000000000004,0.009000000000000001,C528
C530_A1_G1_D1,0.743,0.054000000000000006,0.0,0.0,0.025,0.086,0.092,C530
C530_A1_G4_D1,0.746,0.053,0.0,0.0,0.022000000000000002,0.08900000000000001,0.09,C530
C530_A1_G6_D1,0.735,0.052000000000000005,0.0,0.0,0.025,0.098,0.09,C530
C530_A1_G9_D1,0.736,0.049,0.0,0.0,0.025,0.098,0.092,C530
C530_D1_G1_D1,0.7440000000000001,0.05,0.0,0.005,0.023,0.079,0.099,C530
C530_D1_G10_D1,0.763,0.051,0.0,0.0,0.019,0.068,0.099,C530
C530_D1_G2_D1,0.738,0.057999999999999996,0.0,0.003,0.027000000000000003,0.08,0.095,C530
C530_D1_G5_D1,0.743,0.05,0.0,0.005,0.022000000000000002,0.076,0.10300000000000001,C530
C531_A1_G10_D1,0.635,0.08900000000000001,0.0,0.042,0.0,0.09300000000000001,0.14,C531
C531_A1_G7_D1,0.643,0.08199999999999999,0.0,0.042,0.004,0.086,0.142,C531
C531_B1_G3_D1,0.632,0.09300000000000001,0.0,0.047,0.0,0.102,0.125,C531
C531_B1_G5_D1,0.621,0.096,0.0,0.044000000000000004,0.003,0.106,0.129,C531
C531_B1_G8_D1,0.637,0.08900000000000001,0.0,0.043,0.003,0.09699999999999999,0.13,C531
C531_C1_G1_D1,0.629,0.08,0.0,0.047,0.005,0.098,0.14,C531
C531_C1_G2_D1,0.626,0.081,0.0,0.046,0.002,0.10400000000000001,0.141,C531
C531_C1_G4_D1,0.639,0.08199999999999999,0.0,0.045,0.0,0.094,0.14,C531
C531_C1_G7_D1,0.642,0.078,0.0,0.044000000000000004,0.002,0.09300000000000001,0.141,C531
C532_A1_G3_D1,0.52,0.12,0.0,0.122,0.004,0.139,0.094,C532
C532_A1_G4_D1,0.512,0.11900000000000001,0.0,0.126,0.004,0.14300000000000002,0.096,C532
C532_A1_G5_D1,0.512,0.11900000000000001,0.0,0.124,0.006,0.14300000000000002,0.095,C532
C532_B1_B1_D1,0.532,0.11800000000000001,0.0,0.11699999999999999,0.004,0.141,0.087,C532
C532_B1_G10_D1,0.53,0.11699999999999999,0.0,0.11900000000000001,0.005,0.139,0.09,C532
C532_C1_G10_D1,0.514,0.11,0.0,0.13,0.006999999999999999,0.153,0.087,C532
C532_C1_G6_D1,0.503,0.111,0.0,0.14,0.006,0.152,0.08800000000000001,C532
C532_C1_G7_D1,0.524,0.11699999999999999,0.0,0.126,0.005,0.14300000000000002,0.084,C532
C532_D1_B1_D1,0.555,0.11,0.0,0.099,0.01,0.147,0.08,C532
C532_D1_G8_D1,0.542,0.111,0.0,0.102,0.01,0.15,0.083,C532
C536_B1_G1_D1,0.473,0.001,0.0,0.0,0.0,0.526,0.0,C536
C536_B1_G9_D1,0.47200000000000003,0.001,0.0,0.0,0.0,0.526,0.0,C536
C536_C1_B1_D1,0.47700000000000004,0.0,0.0,0.0,0.0,0.523,0.0,C536
C536_D1_G1_D1,0.48100000000000004,0.0,0.0,0.0,0.0,0.519,0.0,C536
