,SPS,Percentage,source
C549_B1_G3_D1,SPS7,0.0,EPICC Cancer
C549_B1_G5_D1,SPS7,0.0,EPICC Cancer
C549_B1_G8_D1,SPS7,0.0,EPICC Cancer
C549_C1_G7_D1,SPS7,0.0,EPICC Cancer
C549_C234_L1_D1,SPS7,0.0,EPICC Cancer
C549_D234_L1_D1,SPS7,0.011000000000000001,EPICC Cancer
C550_C1_G5_D1,SPS7,0.177,EPICC Cancer
C550_C1_G7_D1,SPS7,0.161,EPICC Cancer
C550_D1_G1_D1,SPS7,0.18,EPICC Cancer
C551_A1_G1_D1,SPS7,0.177,EPICC Cancer
C551_A1_G5_D1,SPS7,0.196,EPICC Cancer
C551_A1_G8_D1,SPS7,0.196,EPICC Cancer
C551_B1_G3_D1,SPS7,0.152,EPICC Cancer
C551_B1_G5_D1,SPS7,0.17800000000000002,EPICC Cancer
C551_C1_G3_D1,SPS7,0.18,EPICC Cancer
C551_C1_G5_D1,SPS7,0.18,EPICC Cancer
C551_C1_G9_D1,SPS7,0.183,EPICC Cancer
C551_D1_G2_D1,SPS7,0.172,EPICC Cancer
C551_D1_G9_D1,SPS7,0.16399999999999998,EPICC Cancer
C555_A1_B1_D1,SPS7,0.0,EPICC Cancer
C555_A234_L1_D1,SPS7,0.0,EPICC Cancer
C555_C234_L1_D1,SPS7,0.0,EPICC Cancer
C560_A1_G10_D1,SPS7,0.066,EPICC Cancer
C560_A1_G6_D1,SPS7,0.059000000000000004,EPICC Cancer
C560_B1_G3_D1,SPS7,0.055999999999999994,EPICC Cancer
C560_B1_G7_D1,SPS7,0.052000000000000005,EPICC Cancer
C560_C1_G4_D1,SPS7,0.063,EPICC Cancer
C560_C1_G6_D1,SPS7,0.059000000000000004,EPICC Cancer
6,SPS7,0.039552448,Cancer clonal
13,SPS7,0.010395302,Cancer subclonal
20,SPS7,0.032997368,Cancer clonal
27,SPS7,0.013348668000000001,Cancer subclonal
34,SPS7,0.043565715,Cancer clonal
41,SPS7,0.01944365,Cancer subclonal
48,SPS7,0.041797525,Cancer clonal
55,SPS7,0.017615738,Cancer subclonal
62,SPS7,0.04451636,Cancer clonal
69,SPS7,0.017268607,Cancer subclonal
76,SPS7,0.033141653,Cancer clonal
83,SPS7,0.0,Cancer subclonal
90,SPS7,0.032104096,Cancer clonal
97,SPS7,0.0,Cancer subclonal
104,SPS7,0.028057863,Cancer clonal
111,SPS7,0.0,Cancer subclonal
118,SPS7,0.081006688,Cancer clonal
125,SPS7,0.038115901,Cancer subclonal
132,SPS7,0.059995598,Cancer clonal
139,SPS7,0.020553112,Cancer subclonal
146,SPS7,0.060424407,Cancer clonal
153,SPS7,0.022895596,Cancer subclonal
160,SPS7,0.050226445,Cancer clonal
167,SPS7,0.01912648,Cancer subclonal
174,SPS7,0.05190473599999999,Cancer clonal
181,SPS7,0.020984586,Cancer subclonal
188,SPS7,0.050803815999999995,Cancer clonal
195,SPS7,0.019481846,Cancer subclonal
202,SPS7,0.06308556,Cancer clonal
209,SPS7,0.030175122999999998,Cancer subclonal
216,SPS7,0.068279651,Cancer clonal
223,SPS7,0.029733765,Cancer subclonal
230,SPS7,0.069768146,Cancer clonal
237,SPS7,0.02328944,Cancer subclonal
244,SPS7,0.06976176099999999,Cancer clonal
251,SPS7,0.022330793999999998,Cancer subclonal
258,SPS7,0.0,Cancer clonal
265,SPS7,0.0,Cancer subclonal
272,SPS7,0.0,Cancer clonal
279,SPS7,0.0,Cancer subclonal
286,SPS7,0.0,Cancer clonal
293,SPS7,0.0,Cancer subclonal
300,SPS7,0.0,Cancer clonal
